,name,discounted_price,original_price,discount,rating
122,"XIAOMI Redmi 12 6.79"" 8GB RAM/256 GB ROM Android 13-Midnight Black","₦ 123,200","₦ 130,000",5%,4.2 out of 5
123,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 52,900","₦ 60,200",12%,4.4 out of 5
124,"Samsung Galaxy A14  6.6"" 4GB RAM/128GB ROM Android 13  - Black","₦ 127,545","₦ 138,000",8%,4.2 out of 5
125,"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Blue","₦ 67,900","₦ 85,000",20%,4.5 out of 5
126,"Infinix Smart 7 HD 6.6"" 2GB RAM/64GB ROM 4G Android 12 - White","₦ 72,000","₦ 111,000",35%,4.3 out of 5
127,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 70,723","₦ 121,373",42%,4.3 out of 5
128,"Tecno Spark 10c 6.6"" 4GB RAM/128GB ROM Android 13 - Black","₦ 92,500","₦ 140,980",34%,4.4 out of 5
129,"Tecno Camon 20 6.67"" 8GB/256GB Android 13 -GlacierGlow + Free Gift","₦ 156,615","₦ 270,800",42%,4.6 out of 5
130,"Infinix Hot 30i 6.6"" 4GB RAM/128GB ROM Android 12 - Blue","₦ 93,000","₦ 186,300",50%,4.4 out of 5
131,"Oppo Refurbished OPPO  F7 6.2 ""FHD+   6GB+128GB ,  Black","₦ 45,990","₦ 89,990",49%,3.7 out of 5
132,"itel A60s 6.6""HD 4GB RAM/128GB ROM Android 12 - Green","₦ 57,130","₦ 75,000",24%,5 out of 5
133,"Infinix Smart 7 Plus 6.6"" 4GB RAM/64GB ROM Android 12 - Green","₦ 73,186","₦ 120,935",39%,4.2 out of 5
134,"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Morion Grey","₦ 36,450","₦ 40,000",9%,3.9 out of 5
135,IPhone X 3GB RAM+64GB (Renewed) -White,"₦ 187,000","₦ 319,608",41%,4.1 out of 5
