,name,discounted_price,original_price,discount,rating
136,"Samsung Galaxy A14 6.6"" 4GB RAM/64GB ROM Android 13 - Black","₦ 121,520","₦ 135,000",10%,4.5 out of 5
137,"XIAOMI Redmi A2+ 6.52"" 2GB RAM/32GB ROM Android 12 - Light Blue","₦ 47,900","₦ 69,000",31%,4.6 out of 5
138,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery Black","₦ 59,990","₦ 69,990",14%,3.8 out of 5
139,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 13 - Black","₦ 119,087","₦ 200,000",40%,4.4 out of 5
140,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 110,010","₦ 120,000",8%,4.8 out of 5
141,"XIAOMI Redmi 12 6.79"" 8GB RAM/256GB ROM Android 13 - Midnight Black","₦ 127,900","₦ 149,000",14%,4.3 out of 5
142,"Tecno Pop 7 Pro 6.6"" 3GB RAM/64GB ROM Android 12 - Blue","₦ 75,800","₦ 119,216",36%,4.3 out of 5
143,IPhone X 3GB RAM+64GB(Renewed)  -Black,"₦ 187,000","₦ 319,608",41%,4.1 out of 5
144,"XIAOMI Redmi 12 6.79"" 8GB RAM/128GB ROM Android 13 - Midnight Black","₦ 116,650","₦ 130,000",10%,4 out of 5
145,"Tecno Spark 10 6.6"" 8GB RAM/128GB ROM Android 12 - Black","₦ 106,971","₦ 181,373",41%,4.4 out of 5
146,"Samsung Galaxy A03 Core 6.5"" 2GB RAM/ 32GB ROM Android 11- Onyx Black","₦ 63,350","₦ 94,740",33%,4.2 out of 5
147,"itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","₦ 80,990","₦ 100,000",19%,3.9 out of 5
148,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 49,900","₦ 91,000",45%,4.3 out of 5
149,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black","₦ 194,250","₦ 220,000",12%,4.8 out of 5
150,XIAOMI Redmi A2+ 6.52” 2GB RAM/32GB ROM Android 12 - Light Green,"₦ 47,900","₦ 69,000",31%,3.9 out of 5
151,IPhone 6 16GB(Refurbished)-Grey (Grade A),"₦ 45,500","₦ 90,196",50%,4.1 out of 5
152,"Samsung Galaxy A04s 6.5"" 4GB RAM/128GB ROM Android 12 - Black","₦ 112,090","₦ 129,500",13%,4.5 out of 5
153,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Black","₦ 72,000","₦ 110,800",35%,4.2 out of 5
154,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Blue","₦ 72,000","₦ 110,800",35%,4.2 out of 5
155,"Tecno Spark10 Pro 6.8"" 8GB/256GB ROM Android13 - Black + Free Gift","₦ 141,500","₦ 230,000",38%,4.5 out of 5
156,"Samsung Galaxy A04s  6.5"" 4GB RAM/64GB ROM Android 12- Black","₦ 100,500","₦ 130,770",23%,4.5 out of 5
157,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery White","₦ 59,990","₦ 69,990",14%,
158,"Refurbished OPPO F11 6.53"" Full HD Display 6GB+128GB 48MP Dual Camera 4020mAh Battery 4G LTE Smartphone","₦ 49,990","₦ 119,980",58%,4.2 out of 5
159,"Tecno POP 7(BF6) 6.6"" HD+ 2GB RAM/64GB ROM Android 12 - Capri Blue","₦ 66,850","₦ 90,000",26%,4.2 out of 5
